station area Latitude Longitude city
中華路二段409巷口 中正區 25.02598 121.50806 台北市
南機場夜市(中華路二段) 中正區 25.02886 121.50518 台北市
南海和平路口西南側 中正區 25.03024 121.50904 台北市
莒光和平路口 中正區 25.03132 121.50745 台北市
水源路11-1號旁 中正區 25.01602 121.52565 台北市
南門國中 中正區 25.03543 121.50834 台北市
捷運小南門站(2號出口) 中正區 25.03567 121.51006 台北市
介壽公園 中正區 25.03907 121.5138 台北市
中華貴陽街口 中正區 25.03938 121.50772 台北市
華山文創園區 中正區 25.04367 121.52849 台北市
捷運善導寺站(1號出口) 中正區 25.04527 121.5222 台北市
濟南紹興路口 中正區 25.04193 121.52459 台北市
林森仁愛路口 中正區 25.03915 121.52163 台北市
中正運動中心 中正區 25.03786 121.51985 台北市
信義杭州路口 中正區 25.0357 121.5241 台北市
捷運善導寺站(3號出口) 中正區 25.04428 121.52336 台北市
捷運小南門站(1號出口) 中正區 25.03648 121.50951 台北市
延平南路133巷口 中正區 25.03792 121.50846 台北市
捷運西門站(2號出口) 中正區 25.0416 121.50842 台北市
寶慶博愛路口 中正區 25.04129 121.5112 台北市
法務部 中正區 25.03705 121.51249 台北市
臺北市立大學(博愛校區) 中正區 25.03545 121.51327 台北市
國家圖書館 中正區 25.03763 121.51709 台北市
市民金山路口 中正區 25.0459 121.53068 台北市
聯合醫院和平院區 中正區 25.03516 121.50641 台北市
中山堂 中正區 25.04412 121.51025 台北市
中華漢口街口 中正區 25.04533 121.50944 台北市
中華路一段21巷口 中正區 25.04677 121.50989 台北市
捷運臺大醫院站(4號出口) 中正區 25.04297 121.51643 台北市
寶藏巖觀音亭 中正區 25.01027 121.5331 台北市
師大水源路口 中正區 25.0203 121.52302 台北市
中山徐州路口 中正區 25.04176 121.51866 台北市
信義連雲街口 中正區 25.03377 121.53041 台北市
臺北轉運站 中正區 25.04842 121.51994 台北市
莒光大埔街口 中正區 25.03132 121.50519 台北市
捷運忠孝新生站(2號出口) 中正區 25.04235 121.53222 台北市
光華商場 中正區 25.04478 121.53274 台北市
中山青島路口 中正區 25.04503 121.51968 台北市
捷運中正紀念堂站(5號出口) 中正區 25.03526 121.5168 台北市
